"Sens Factor =1.516dB, SERNO: 7055332"
"Auto-generated 90-degree calibration file"
10.054	-5.0458
10.179	-4.8805
10.306	-4.7184
10.434	-4.5595
10.564	-4.4037
10.696	-4.2511
10.829	-4.1016
10.964	-3.9551
11.100	-3.8117
11.238	-3.6713
11.378	-3.5338
11.520	-3.3993
11.663	-3.2677
11.809	-3.1389
11.956	-3.0130
12.104	-2.8899
12.255	-2.7695
12.408	-2.6519
12.562	-2.5370
12.718	-2.4248
12.877	-2.3152
13.037	-2.2083
13.199	-2.1039
13.364	-2.0020
13.530	-1.9027
13.698	-1.8059
13.869	-1.7115
14.042	-1.6195
14.216	-1.5299
14.393	-1.4427
14.573	-1.3578
14.754	-1.2751
14.938	-1.1948
15.124	-1.1166
15.312	-1.0407
15.503	-0.9669
15.696	-0.8952
15.891	-0.8257
16.089	-0.7582
16.289	-0.6927
16.492	-0.6292
16.697	-0.5677
16.905	-0.5081
17.115	-0.4505
17.328	-0.3947
17.544	-0.3407
17.763	-0.2885
17.984	-0.2382
18.208	-0.1895
18.434	-0.1426
18.664	-0.0973
18.896	-0.0537
19.131	-0.0117
19.369	0.0287
19.611	0.0676
19.855	0.1050
20.102	0.1408
20.352	0.1753
20.605	0.2083
20.862	0.2399
21.122	0.2702
21.385	0.2991
21.651	0.3268
21.920	0.3532
22.193	0.3784
22.470	0.4023
22.749	0.4252
23.032	0.4469
23.319	0.4675
23.609	0.4870
23.903	0.5055
24.201	0.5230
24.502	0.5395
24.807	0.5551
25.116	0.5698
25.429	0.5837
25.745	0.5966
26.066	0.6088
26.390	0.6202
26.719	0.6309
27.051	0.6409
27.388	0.6502
27.729	0.6588
28.074	0.6668
28.424	0.6743
28.778	0.6812
29.136	0.6875
29.499	0.6934
29.866	0.6989
30.238	0.7039
30.614	0.7085
30.995	0.7128
31.381	0.7168
31.772	0.7205
32.167	0.7239
32.568	0.7271
32.973	0.7301
33.383	0.7329
33.799	0.7356
34.220	0.7382
34.646	0.7408
35.077	0.7433
35.514	0.7473
35.956	0.7510
36.403	0.7535
36.857	0.7547
37.315	0.7558
37.780	0.7587
38.250	0.7654
38.726	0.7775
39.209	0.7953
39.697	0.8177
40.191	0.8430
40.691	0.8681
41.198	0.8903
41.711	0.9072
42.230	0.9175
42.756	0.9214
43.288	0.9199
43.827	0.9148
44.372	0.9073
44.925	0.8989
45.484	0.8909
46.050	0.8841
46.623	0.8791
47.204	0.8764
47.791	0.8764
48.386	0.8796
48.989	0.8860
49.599	0.8953
50.216	0.9068
50.841	0.9199
51.474	0.9337
52.115	0.9472
52.764	0.9595
53.420	0.9699
54.085	0.9786
54.759	0.9865
55.440	0.9945
56.131	1.0040
56.829	1.0162
57.537	1.0316
58.253	1.0503
58.978	1.0713
59.712	1.0933
60.456	1.1147
61.208	1.1336
61.970	1.1479
62.742	1.1554
63.523	1.1545
64.314	1.1445
65.114	1.1262
65.925	1.1019
66.745	1.0746
67.576	1.0478
68.418	1.0246
69.269	1.0070
70.132	0.9960
71.005	0.9910
71.889	0.9900
72.784	0.9911
73.690	0.9923
74.607	0.9923
75.536	0.9902
76.476	0.9853
77.428	0.9779
78.392	0.9682
79.368	0.9566
80.356	0.9435
81.356	0.9299
82.369	0.9167
83.394	0.9049
84.433	0.8952
85.484	0.8877
86.548	0.8821
87.625	0.8776
88.716	0.8733
89.820	0.8685
90.939	0.8623
92.071	0.8546
93.217	0.8452
94.377	0.8342
95.552	0.8216
96.742	0.8081
97.946	0.7946
99.165	0.7822
100.400	0.7721
101.650	0.7649
102.915	0.7606
104.196	0.7590
105.493	0.7595
106.806	0.7610
108.136	0.7623
109.482	0.7626
110.845	0.7613
112.225	0.7582
113.622	0.7534
115.037	0.7469
116.469	0.7393
117.919	0.7308
119.386	0.7223
120.873	0.7142
122.377	0.7071
123.901	0.7013
125.443	0.6970
127.005	0.6938
128.586	0.6913
130.187	0.6892
131.807	0.6872
133.448	0.6850
